State/Province,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
MI,20.0,3.0,3.0,,1.0,,,,,,,,1.0,168.0,591.0,234.0,537.0,1168.0,2177.0,1190.0,13098.0,105338.0,13649.0,1634.0,2952.0,1574.0,1296.0,566.0
MIC,,1.0,,,,,,1.0,1.0,1.0,1.0,3.0,5.0,4.0,32.0,10009.0,2.0,4.0,3.0,7.0,1.0,19000.0,5000.0,13.0,1.0,,,
MN,29.0,17.0,1.0,2.0,,,,,,,,,1.0,353.0,833.0,151.0,381.0,1166.0,1989.0,2059.0,2082.0,2139.0,5050.0,2643.0,3133.0,2164.0,1516.0,1501.0
MO,16.0,16.0,2.0,2.0,,,,,,,,,6.0,102.0,327.0,355.0,513.0,550.0,1300.0,1163.0,1328.0,11927.0,1284.0,1409.0,1701.0,869.0,787.0,265.0
MOR,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
MS,8.0,7.0,1.0,1.0,,,,,,,,1.0,2.0,19.0,127.0,125.0,33.0,46.0,157.0,60.0,214.0,271.0,201.0,215.0,343.0,152.0,207.0,16.0
MT,,,,,,,,,,,,,,,,,1.0,6.0,1.0,32.0,,7.0,5.0,22.0,14.0,10.0,26.0,
Miquelon-Langlade,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
NAY,,,,,,,,,,,,,,,,,,6.0,,,9.0,2.0,1.0,,,,,
NB,,,,,,,,,,,,,,1.0,1.0,4.0,,7.0,3.0,3.0,156.0,113.0,50.0,19.0,32.0,128.0,17.0,24.0
NC,35.0,10.0,,,,1.0,,,,4.0,1.0,,,101.0,465.0,561.0,240.0,595.0,675.0,1117.0,1284.0,1607.0,1414.0,916.0,1503.0,592.0,877.0,120.0
ND,1.0,,,1.0,,,,,,,,,,12.0,108.0,1.0,23.0,116.0,21.0,53.0,34.0,30.0,279.0,67.0,15.0,29.0,8.0,157.0
NE,17.0,16.0,,,,,,,,,,,,13.0,175.0,26.0,124.0,209.0,382.0,372.0,543.0,512.0,513.0,204.0,291.0,325.0,316.0,233.0
NH,11.0,13.0,1.0,,,,,,,,,,4.0,20.0,95.0,486.0,29.0,135.0,34.0,160.0,332.0,416.0,1433.0,285.0,503.0,392.0,122.0,133.0
NJ,21.0,21.0,2.0,,,2.0,1.0,,,,,,3.0,129.0,692.0,657.0,143.0,624.0,832.0,804.0,1413.0,2031.0,1316.0,1409.0,1202.0,545.0,573.0,980.0
NL,,,,,,,,,,,,,,40.0,94.0,249.0,107.0,800.0,242.0,3.0,7.0,1.0,,,2.0,,,
NLE,4.0,1.0,,,,,,,,,,,,,1.0,,,,32.0,190.0,169.0,79.0,46.0,1.0,20.0,10.0,210.0,
NM,12.0,1.0,,,,,,,,,,,2.0,3.0,31.0,6.0,94.0,128.0,106.0,849.0,484.0,297.0,254.0,68.0,596.0,142.0,34.0,12.0
NS,3.0,,,,,,,,,,,,3.0,5.0,3.0,43.0,7.0,18.0,22.0,50.0,81.0,118.0,171.0,87.0,141.0,258.0,15.0,32.0
NV,,,,,,,,,,,,,,2.0,25.0,26.0,7.0,26.0,63.0,212.0,35.0,15.0,9.0,2.0,18.0,44.0,24.0,16.0
NY,34.0,19.0,4.0,7.0,2023.0,,,,,,,14.0,4.0,292.0,779.0,1046.0,352.0,1320.0,898.0,854.0,3225.0,2394.0,3333.0,1415.0,2296.0,1681.0,720.0,459.0
North Abaco,,,,,,,,,,,,,,3.0,,1.0,,,,,,,,,,,,
North Eleuthera,,,,,,,,,,,,,,,,,,,,500.0,,,,,,,,
OH,16.0,12.0,4.0,1.0,,,,,,,1.0,,,59.0,414.0,331.0,232.0,401.0,2720.0,926.0,1103.0,2205.0,1988.0,1317.0,2495.0,1128.0,1013.0,463.0
OK,9.0,23.0,2.0,,,,1.0,,,1.0,,,1.0,56.0,376.0,129.0,330.0,313.0,586.0,1487.0,4026.0,2357.0,1661.0,2339.0,12784.0,2031.0,2073.0,1196.0
ON,39.0,20.0,3.0,,1.0,,,,,,,,,124.0,1298.0,1268.0,793.0,2210.0,2874.0,3007.0,5136.0,5064.0,15131.0,7215.0,5079.0,3702.0,2251.0,1346.0
OR,4.0,,,,,,,,,,,,1.0,1.0,14.0,2.0,1.0,8.0,47.0,47.0,40.0,11.0,10.0,25.0,42.0,124.0,97.0,9.0
PA,27.0,12.0,1.0,,,,,,,,2.0,,1.0,201.0,573.0,898.0,575.0,836.0,1306.0,1208.0,1736.0,1936.0,2599.0,1211.0,7237.0,932.0,853.0,306.0
PE,,,,,,,,,,,,,,,,,,1.0,,,2.0,2.0,,2.0,1.0,4.0,2.0,
PR,,,,,,,,,,,,,,,,,,3.0,2.0,,,1000.0,,,,122.0,262.0,120.0
PUE,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,
QC,6.0,,,,,,,,,,,,,5.0,9.0,15.0,11.0,72.0,34.0,32.0,305.0,265.0,323.0,158.0,257.0,248.0,260.0,28.0
QUE,,,,,,,,,,,,,,5.0,4.0,,24.0,13.0,5.0,52.0,,45.0,255.0,26.0,40.0,,,1.0
RI,1.0,1.0,1.0,,,,,,,,,,1.0,5.0,7.0,58.0,11.0,32.0,44.0,43.0,173.0,159.0,199.0,53.0,634.0,193.0,32.0,16.0
ROO,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,
SC,24.0,2.0,,,,,,,2.0,8.0,2.0,8.0,4.0,47.0,267.0,215.0,228.0,132.0,415.0,299.0,803.0,376.0,424.0,505.0,817.0,312.0,603.0,381.0
SD,,,1.0,1.0,,,,,,,,,,13.0,17.0,31.0,137.0,133.0,158.0,114.0,191.0,273.0,72.0,27.0,77.0,37.0,23.0,10.0
SIN,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,,
SK,4.0,,,,,,,,,,,,,,,32.0,1.0,,,2.0,10.0,23.0,6.0,10.0,35.0,,53.0,5.0
SLP,,,,,,,,,,,,,,3.0,9.0,21.0,15.0,15.0,3.0,3.0,29.0,,,,,,40.0,
SON,,,,,,,,,,,,1.0,,,,,1.0,11.0,1.0,12.0,8.0,2.0,,,1000.0,,1.0,
SacatepÃ©quez,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
Saint George Basseterre Parish,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,
Saint George Gingerland Parish,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
Saint John,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
Saint-Pierre,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
San JosÃ©,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
SaÃ¯da Province,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,
SololÃ¡ Department,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
Spanish Wells,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,
St Croix,,,,,,,,,,,,,,,,,,,1.0,,3.0,6.0,8.0,30.0,8.0,9.0,,
St John,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
TAM,1.0,,,,,,,,,,,,,1.0,1.0,20.0,48.0,52.0,39.0,51.0,6.0,38.0,114.0,140.0,14.0,12.0,10.0,
TN,25.0,8.0,,1.0,,,,,,,,,,28.0,40.0,152.0,237.0,191.0,377.0,370.0,348.0,747.0,555.0,449.0,578.0,283.0,258.0,76.0
TX,74.0,127.0,3.0,1.0,1.0,28.0,9.0,15.0,11.0,17.0,3.0,16.0,31.0,379.0,4045.0,2078.0,2739.0,6088.0,3859.0,7997.0,5543.0,8154.0,6294.0,8100.0,13429.0,5535.0,4079.0,1280.0
UT,,,,1.0,,,,,,,,,,1.0,9.0,14.0,22.0,31.0,58.0,122.0,38.0,18.0,21.0,40.0,105.0,393.0,256.0,55.0
VA,28.0,12.0,8.0,,,,,,,1.0,,,1.0,122.0,298.0,423.0,346.0,703.0,577.0,793.0,765.0,2135.0,1375.0,758.0,1298.0,708.0,425.0,162.0
VER,,,,,,,,,,,,,,1.0,,,,,1.0,5.0,,,,,,,,
VI,,,,,,,,,,,,,,,,,,,1.0,3.0,,,,,,,,
VIC,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,
VT,7.0,5.0,1.0,,,,,,,,,,8.0,28.0,128.0,271.0,28.0,154.0,43.0,134.0,206.0,263.0,291.0,108.0,179.0,216.0,60.0,34.0
Vt,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
WA,5.0,1.0,,,,1.0,,,,,,,,,,47.0,39.0,44.0,17.0,32.0,8.0,31.0,2.0,8.0,2.0,152.0,19.0,7.0
WI,17.0,14.0,9.0,2.0,,,4.0,,,,,,1.0,97.0,429.0,252.0,320.0,742.0,1452.0,1318.0,1171.0,1542.0,7514.0,1579.0,3123.0,1125.0,997.0,672.0
WV,8.0,1.0,,,,,,,,,,,,22.0,82.0,28.0,62.0,98.0,196.0,158.0,118.0,301.0,115.0,179.0,226.0,120.0,107.0,36.0
WY,,,,,,,,,,,,,,2.0,2.0,2.0,5.0,2.0,29.0,26.0,14.0,1.0,,18.0,14.0,16.0,8.0,2.0
Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Xinjiang,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,
YUC,,,,,,,,,,,,,,,,3.0,,,,,,7.0,,,,,,
ZAC,,,,,,,,,,,,,,,,,,43.0,,,,,,28.0,,,,
Zulia,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
